movi_name,name
Planet Earth II,"David Attenborough,Gordon Buchanan,Chadden Hunter,Elizabeth White,Mark MacEwen,Fredi Devas,Ed Charles,Sandesh Kadur,Emma Napper,Barrie Britton,Pete McCowen,Armin Holtze,Michael J. Sanderson,Thomas Crowley,Jerome Poncet,Max Hug Williams,Emma Brennand,Hasibelo Rakoutouvaou"
Scam 1992: The Harshad Mehta Story,"Pratik Gandhi,Shreya Dhanwanthary,Hemant Kher,Anjali Barot,Chirag Vohra,Brinda Trivedi,Jay Upadhyay,Kumkum Das,Anant Mahadevan,Faisal Rashid,Nikhil Dwivedi,Kavin Dave,Paresh Ganatra,Himanshu Kohli,Aakanksha Gade,K.K. Raina,Raghav Raj Kakker,Kartik Krishnan"
The Vietnam War,"Peter Coyote,Huy Duc,James Willbanks,Duong Van Mai Elliott,Joachim Król,Josef Tratnik,Hans-Gerd Kilbinger,Bernt Hahn,Maximilian Hilbrand,Ernst August Schepmann,Robert Steudtner,Simon Roden,Renate Fuhrmann,John Musgrave,Phan Quang Tue,Karl Marlantes,Nguyen Ngoc,Bao Ninh"
The Last Dance,"Michael Jordan,Phil Jackson,Scottie Pippen,David Aldridge,Steve Kerr,Michael Wilbon,Andrea Kremer,Bill Wennington,John Paxson,Deloris Jordan,Dennis Rodman,Ahmad Rashad,Bob Costas,David Stern,Jerry Reinsdorf,B.J. Armstrong,Sam Smith,Rick Telander"
Fullmetal Alchemist: Brotherhood,"Matthew Leonhart,Kent Williams,Iemasa Kayumi,Vic Mignogna,Romi Park,Muriel Hofmann,Lili Troncale,Rie Kugimiya,Maxey Whitehead,Travis Willingham,Shin'ichirô Miki,Colleen Clinkenbeard,Fumiko Orikasa,Kenta Miyake,J. Michael Tatum,Yuki Hayashi,Caitlin Glass,Monica Rial"
Arcane,"Hailee Steinfeld,Kevin Alejandro,Jason Spisak,Harry Lloyd,Toks Olagundoye,JB Blanc,Remy Hii,Dave B. Mitchell,Amirah Vann,Katie Leung,Ella Purnell,Mia Sinclair Jenness,Josh Keaton,Mick Wingert,Erica Lindbeck,Yuri Lowenthal,Abigail Marlowe,Reed Shannon"
Life,"Oprah Winfrey,David Attenborough,Doug Allan,Roger Munns,Barrie Britton,Neil Lucas,Michael Pitts,Justine Evans,Kevin Flay,Jonathan Smith,Stephen Lyle,Nick Guy,Matthew Swarbrick,Rick Rosenthal,Adam Chapman,Martha Holmes,Doug Anderson,Tim Shepherd"
Sherlock,"Benedict Cumberbatch,Martin Freeman,Una Stubbs,Rupert Graves,Louise Brealey,Mark Gatiss,Andrew Scott,Amanda Abbington,Jonathan Aris,Vinette Robinson,Tanya Moodie,Lindsay Duncan,Yasmine Akram,Sian Brooke,David Nellist,Simon Kunz,Wanda Ventham,Timothy Carlton"
The Twilight Zone,"Rod Serling,Robert McCord,Jay Overholts,Vaughn Taylor,Cyril Delevanti,David Armstrong,James Turley,Jack Klugman,Burgess Meredith,John Anderson,J. Pat O'Malley,Barney Phillips,George Mitchell,Jon Lormer,John McLiam,Bill Erwin,Nan Peterson,Lew Brown"
The World at War,"Laurence Olivier,Albert Speer,Anthony Eden,Averell Harriman,Siegfried Westphal,Lawrence Durrell,Toshikazu Kase,J. Lawton Collins,Louis Mountbatten,Wynford Vaughan-Thomas,J.B. Priestley,Christabel Bielenberg,Adolf Galland,Francis de Guingand,Hasso von Manteuffel,Koichi Kido,Yuzuru Sanematsu,Emmi Bonhoeffer"
